"hzname","top_cm","bottom_cm","matric_dry_color_hue","matrix_dry_color_value","matrix_dry_color_chroma","matrix_wet_color_hue","matrix_wet_color_value","matrix_wet_color_chroma","series","MO_region"
"Cy",18,46,"5Y",4,2,"5Y",3,2,"Hanksville",4
"Cr",99,0,"",,,"",,,"Hanksville",4
"A",0,10,"10YR",4,2,"10YR",3,3,"Heflin",4
"BAt",10,18,"10YR",5,3,"10YR",4,3,"Heflin",4
"Bt1",18,36,"10YR",5,3,"10YR",4,3,"Heflin",4
"Bt2",36,64,"10YR",5,3,"10YR",4,3,"Heflin",4
"BC",64,91,"10YR",5,4,"10YR",4,4,"Heflin",4
"C",91,142,"10YR",6,3,"",,,"Heflin",4
"Cr",142,0,"",,,"",,,"Heflin",4
"Oi",0,8,"",,,"",,,"Holloway",4
"A",8,33,"10YR",6,4,"10YR",4,4,"Holloway",4
"2E",33,51,"10YR",7,2,"10YR",6,2,"Holloway",4
"Bt",51,140,"10YR",7,2,"10YR",6,3,"Holloway",4
"2C",140,152,"10YR",7,3,"10YR",6,3,"Holloway",4
"Oi",0,3,"",,,"",,,"Irim",4
"Ag",3,30,"10YR",4,1,"10YR",2,1,"Irim",4
"Bwg",30,155,"10YR",5,2,"10YR",4,2,"Irim",4
"Oi",0,3,"",,,"",,,"Kaniksu",4
"A",3,20,"10YR",6,3,"10YR",4,3,"Kaniksu",4
"Bt1",20,36,"10YR",6,4,"10YR",4,4,"Kaniksu",4
"Bt2",36,51,"10YR",6,4,"10YR",5,4,"Kaniksu",4
"Bt3",51,69,"10YR",6,3,"10YR",4,3,"Kaniksu",4
"Bt4",69,122,"10YR",6,3,"10YR",4,3,"Kaniksu",4
"C",122,155,"",,,"",,,"Kaniksu",4
"Oi",0,5,"",,,"",,,"Lantern",4
"E1",5,41,"10YR",7,2,"10YR",5,2,"Lantern",4
"Bt",71,104,"10YR",6,3,"10YR",5,4,"Lantern",4
"BC",104,152,"10YR",7,3,"10YR",5,3,"Lantern",4
"O1",0,5,"",,,"",,,"Leal",4
"O2",5,10,"",,,"",,,"Leal",4
"A2",10,20,"10YR",7,2,"10YR",6,2,"Leal",4
"B2ir",20,51,"10YR",5,4,"10YR",4,4,"Leal",4
"C",51,168,"2.5Y",6,2,"2.5Y",5,3,"Leal",4
"A",0,13,"10YR",6,3,"10YR",4,3,"Lilapoint",4
"Bw1",13,43,"10YR",6,4,"10YR",5,4,"Lilapoint",4
"Bw2",43,56,"10YR",7,4,"10YR",5,4,"Lilapoint",4
"Bw3",56,86,"10YR",7,4,"10YR",5,3,"Lilapoint",4
"C",86,152,"10YR",6,4,"7.5YR",5,4,"Lilapoint",4
"Oi",0,3,"",,,"",,,"Lionwood",4
"A",3,15,"10YR",4,2,"10YR",6,2,"Lionwood",4
"E1",15,46,"10YR",5,3,"10YR",6,3,"Lionwood",4
"E2",46,69,"10YR",5,3,"10YR",6,3,"Lionwood",4
"Bt",69,122,"10YR",7,4,"10YR",7,3,"Lionwood",4
"2Bt",122,135,"10YR",6,4,"10YR",7,4,"Lionwood",4
"3Bt",135,152,"10YR",5,4,"10YR",7,4,"Lionwood",4
"A",0,15,"10YR",6,3,"10YR",4,3,"Losmarios",4
"2Bw",15,46,"10YR",5,2,"10YR",4,2,"Losmarios",4
"2Bk",46,74,"10YR",5,2,"10YR",4,2,"Losmarios",4
"2C",74,152,"10YR",5,2,"10YR",4,2,"Losmarios",4
"Oi",0,2,"",,,"",,,"Lumpgulch",4
"A",2,7,"10YR",4,3,"",,,"Lumpgulch",4
"E",7,18,"10YR",6,2,"10YR",5,3,"Lumpgulch",4
"Bt",18,56,"2.5Y",5,4,"2.5Y",4,4,"Lumpgulch",4
"Cr",56,69,"",,,"",,,"Lumpgulch",4
"R",69,69,"",,,"",,,"Lumpgulch",4
"Oi",0,3,"",,,"",,,"Mammoth",4
"E",3,25,"10YR",6,3,"10YR",4,4,"Mammoth",4
"Bt1",25,41,"10YR",5,4,"7.5YR",5,4,"Mammoth",4
"Bt2",41,56,"10YR",5,4,"7.5YR",5,4,"Mammoth",4
"Bt3",56,81,"10YR",5,4,"7.5YR",4,6,"Mammoth",4
"Bt4",81,150,"7.5YR",5,6,"7.5YR",4,6,"Mammoth",4
"C",150,170,"7.5YR",4,6,"7.5YR",4,4,"Mammoth",4
"Oi",0,3,"",,,"",,,"Marble",4
"A",3,10,"10YR",5,2,"10YR",3,2,"Marble",4
"E",10,20,"10YR",6,3,"10YR",4,3,"Marble",4
"Bt1",20,69,"10YR",6,3,"10YR",4,3,"Marble",4
"Bt2",69,135,"10YR",6,3,"10YR",4,3,"Marble",4
"C",135,152,"",,,"",,,"Marble",4
"Oi",0,3,"",,,"",,,"Marblespring",4
"A1",3,5,"10YR",5,3,"10YR",3,2,"Marblespring",4
"A2",5,18,"10YR",7,3,"10YR",4,3,"Marblespring",4
"Bt1",18,69,"10YR",7,3,"10YR",4,3,"Marblespring",4
"Bt2",69,130,"10YR",7,3,"10YR",4,3,"Marblespring",4
"C",130,152,"",,,"",,,"Marblespring",4
"A1",0,8,"10YR",5,3,"10YR",3,2,"Mineral",4
"A2",8,20,"10YR",4,3,"10YR",3,3,"Mineral",4
"B2t",20,56,"7.5YR",6,4,"7.5YR",4,3,"Mineral",4
"Cca",56,117,"7.5YR",8,2,"7.5YR",6,3,"Mineral",4
"Oi",0,5,"",,,"",,,"Mitten",4
"Bw",5,28,"10YR",6,4,"10YR",4,4,"Mitten",4
"2E",28,46,"7.5YR",7,2,"7.5YR",5,2,"Mitten",4
"Bw",46,91,"7.5YR",7,2,"7.5YR",5,2,"Mitten",4
"2BC",91,152,"7.5YR",7,2,"7.5YR",5,2,"Mitten",4
"O1",0,5,"",,,"",,,"Montez",4
"A1",5,23,"10YR",4,2,"10YR",2,2,"Montez",4
"A2",23,61,"10YR",6,2,"7.5YR",5,6,"Montez",4
"B",61,76,"10YR",6,2,"7.5YR",5,6,"Montez",4
"B2t",76,97,"7.5YR",5,6,"10YR",4,4,"Montez",4
"B3t",97,109,"10YR",6,6,"",,,"Montez",4
"C",135,135,"10YR",6,6,"10YR",5,8,"Montez",4
"R",135,135,"",,,"",,,"Montez",4
"A1",0,8,"10YR",5,2,"10YR",3,3,"Nemote",4
"A2",8,25,"7.5YR",7,2,"7.5YR",4,2,"Nemote",4
"A3",25,56,"10YR",7,2,"10YR",4,2,"Nemote",4
"B1",56,79,"10YR",7,2,"10YR",4,2,"Nemote",4
"B2",79,165,"10YR",6,2,"10YR",7,2,"Nemote",4
"C",165,203,"10YR",7,2,"10YR",5,1,"Nemote",4
"Oi",0,5,"",,,"",,,"Newcomb",4
"E",5,36,"10YR",7,4,"10YR",6,4,"Newcomb",4
"Bt1",36,61,"10YR",6,4,"10YR",5,4,"Newcomb",4
"Bt2",61,91,"10YR",6,4,"10YR",5,4,"Newcomb",4
"Bt3",91,122,"10YR",6,4,"10YR",5,4,"Newcomb",4
"C",122,157,"",,,"",,,"Newcomb",4
"A1",0,15,"10YR",3,2,"",,,"Nordic",4
"A2",15,38,"10YR",3,2,"10YR",4,2,"Nordic",4
"A3",38,61,"10YR",4,4,"10YR",6,4,"Nordic",4
"A4",61,102,"10YR",4,5,"10YR",6,4,"Nordic",4
"Bt1",102,119,"7.5YR",5,6,"10YR",6,4,"Nordic",4
"Bt2",122,147,"7.5YR",5,6,"10YR",6,4,"Nordic",4
"C",147,178,"7.5YR",5,4,"10YR",6,4,"Nordic",4
"Oi",0,5,"",,,"",,,"Ohman",4
"A",5,13,"10YR",7,3,"10YR",4,2,"Ohman",4
"E",13,33,"7.5YR",7,4,"7.5YR",4,2,"Ohman",4
"Bt1",33,53,"7.5YR",7,6,"7.5YR",4,2,"Ohman",4
"Bt2",53,89,"7.5YR",6,6,"5YR",4,6,"Ohman",4
"C",89,89,"",,,"",,,"Ohman",4
"Oi",0,5,"",,,"",,,"Ovando",4
"E1",5,20,"10YR",6,4,"10YR",4,4,"Ovando",4
"E2",20,69,"10YR",7,2,"10YR",5,2,"Ovando",4
"Bt",69,130,"10YR",7,4,"10YR",5,4,"Ovando",4
"C",130,152,"10YR",6,3,"10YR",5,3,"Ovando",4
"Oi",0,3,"",,,"",,,"Pausant",4
"A",3,18,"10YR",5,2,"10YR",4,2,"Pausant",4
"Bw",18,33,"10YR",7,4,"10YR",4,3,"Pausant",4
"E1",33,41,"10YR",7,3,"10YR",5,3,"Pausant",4
"E2",41,91,"10YR",7,2,"10YR",6,2,"Pausant",4
"Bt",91,135,"10YR",7,1,"10YR",6,2,"Pausant",4
"2E",142,152,"10YR",8,2,"10YR",7,2,"Pausant",4
"3E",152,163,"10YR",7,2,"10YR",5,1,"Pausant",4
"3Bt1",163,229,"10YR",7,2,"1-YR",5,1,"Pausant",4
"4C",229,244,"",,,"",,,"Pausant",4
"Oi",0,8,"",,,"",,,"Petty",4
"Bw",8,38,"10YR",6,4,"10YR",4,4,"Petty",4
"2E",38,69,"10YR",7,4,"10YR",5,4,"Petty",4
"Bt",69,99,"10YR",7,4,"10YR",5,4,"Petty",4
"2C",99,152,"10YR",7,4,"10YR",5,4,"Petty",4
"Oi",0,3,"",,,"",,,"Pimsby",4
"A",3,13,"5YR",5,4,"5YR",3,4,"Pimsby",4
"E1",13,36,"5YR",6,4,"5YR",4,4,"Pimsby",4
"E2",36,61,"5YR",6,3,"5YR",4,3,"Pimsby",4
"Bt",61,119,"2.5YR",6,4,"2.5YR",4,4,"Pimsby",4
"C",119,152,"5YR",6,6,"5YR",5,6,"Pimsby",4
"Oi",0,5,"",,,"",,,"Redlock",4
"A",5,8,"10YR",4,2,"10YR",,4,"Redlock",4
"Bw",8,36,"10YR",4,4,"10YR",6,4,"Redlock",4
"2E",36,48,"10YR",4,4,"10YR",6,4,"Redlock",4
"Bt",48,61,"10YR",5,2,"10YR",7,2,"Redlock",4
"2Bt",61,76,"7.5YR",5,2,"7.5YR",6,2,"Redlock",4
"3E",76,102,"10YR",6,2,"10YR",7,2,"Redlock",4
"4Bt",102,117,"7.5YR",5,4,"7.5YR",7,2,"Redlock",4
"5E",117,142,"10YR",6,2,"10YR",7,2,"Redlock",4
"6Bt",142,152,"7.5YR",5,4,"7.5YR",7,2,"Redlock",4
"A",0,28,"7.5YR",4,2,"7.5YR",2,2,"Redtom",4
"E1",28,43,"5YR",6,3,"5YR",4,3,"Redtom",4
"E2",43,56,"5YR",6,3,"5YR",4,3,"Redtom",4
"Bt",56,102,"2.5YR",5,6,"2.5YR",4,4,"Redtom",4
"C",102,152,"2.5YR",5,6,"2.5YR",4,6,"Redtom",4
"A1",0,5,"10YR",5,2,"10YR",3,2,"Sanpitch",4
"A2",5,18,"10YR",5,2,"10YR",3,2,"Sanpitch",4
"C1ca",18,33,"7.5YR",7,2,"7.5YR",5,3,"Sanpitch",4
"C2ca",33,51,"7.5YR",7,2,"7.5YR",5,3,"Sanpitch",4
"C3ca",51,61,"7.5YR",7,2,"7.5YR",5,3,"Sanpitch",4
"C4",61,94,"7.5YR",6,2,"7.5YR",5,3,"Sanpitch",4
"C5",94,107,"7.5YR",8,2,"7.5YR",6,3,"Sanpitch",4
"C6",107,152,"7.5YR",8,2,"7.5YR",5,3,"Sanpitch",4
"Oi",0,3,"",,,"",,,"Scar",4
"Oe",3,5,"",,,"",,,"Scar",4
"E",5,8,"10YR",6,1,"10YR",5,1,"Scar",4
"Bs1",8,23,"7.5YR",5,6,"10YR",4,4,"Scar",4
"Bs2",23,30,"7.5YR",5,6,"7.5YR",4,2,"Scar",4
"C1",30,53,"5Y",5,1,"7.5YR",4,4,"Scar",4
"2C2",53,152,"5Y",7,2,"5Y",5,2,"Scar",4
"Oe",0,5,"10YR",2,2,"",,,"Scriver",4
"A1",5,13,"10YR",5,3,"10YR",3,2,"Scriver",4
"A2",13,28,"10YR",5,3,"10YR",3,3,"Scriver",4
"Bt",28,38,"10YR",6,3,"10YR",4,3,"Scriver",4
"E1",38,64,"10YR",5,3,"10YR",6,3,"Scriver",4
"E2",64,104,"10YR",5,3,"7.5YR",4,3,"Scriver",4
"E3",104,147,"",,,"",,,"Scriver",4
"Cr",147,178,"10YR",7,3,"5YR",4,3,"Scriver",4
"Oi",0,8,"",,,"",,,"Selway",4
"E1",8,28,"10YR",6,3,"10YR",4,3,"Selway",4
"E2",28,53,"10YR",7,2,"10YR",4,3,"Selway",4
"Bt1",53,97,"10YR",7,3,"10YR",5,4,"Selway",4
"Bt2",97,137,"10YR",6,6,"10YR",5,6,"Selway",4
"BC",137,152,"10YR",6,6,"10YR",5,6,"Selway",4
"A",0,20,"10YR",5,3,"10YR",4,3,"Shineberger",4
"BCk",20,43,"10YR",6,3,"10YR",4,5,"Shineberger",4
"Cr",43,152,"",,,"",,,"Shineberger",4
"Oi",0,3,"",,,"",,,"Spearhead",4
"A",3,94,"10YR",4,3,"10YR",3,3,"Spearhead",4
"Bk",94,155,"10YR",7,3,"10YR",5,3,"Spearhead",4
"A",0,10,"10YR",4,2,"10YR",3,2,"Suposo",4
"Bt",10,41,"10YR",5,2,"10YR",3,2,"Suposo",4
"Btk",41,79,"10YR",4,2,"10YR",3,2,"Suposo",4
"BCk",79,152,"10YR",5,3,"10YR",3,2,"Suposo",4
"Oi",0,5,"",,,"",,,"Tamarack",4
"E",5,13,"10YR",7,2,"10YR",5,2,"Tamarack",4
"Bw",13,36,"10YR",7,4,"10YR",4,4,"Tamarack",4
"Bt1",36,81,"10YR",7,3,"10YR",5,3,"Tamarack",4
"Bt2",81,117,"10YR",7,3,"10YR",5,3,"Tamarack",4
"2C",117,152,"10YR",6,3,"10YR",5,3,"Tamarack",4
"A1",0,20,"10YR",5,2,"10YR",3,2,"Tiagos",4
"A3",20,30,"10YR",5,3,"10YR",3,3,"Tiagos",4
"B2t",30,61,"10YR",5,3,"10YR",4,3,"Tiagos",4
"B3",61,71,"10YR",5,3,"10YR",4,3,"Tiagos",4
"C",71,152,"10YR",6,3,"10YR",4,3,"Tiagos",4
"Oe",0,3,"",,,"",,,"Tonahutu",4
"E",3,15,"10YR",6,3,"10YR",4,3,"Tonahutu",4
"Bt1",15,53,"10YR",6,3,"10YR",4,3,"Tonahutu",4
"Bt2",53,89,"10YR",6,3,"10YR",4,3,"Tonahutu",4
"E",89,114,"7.5YR",5,6,"7.5YR",4,6,"Tonahutu",4
"BC",114,157,"10YR",6,2,"10YR",4,2,"Tonahutu",4
"O1",0,3,"",,,"",,,"Toncana",4
"A1",3,10,"10YR",2,2,"10YR",3,2,"Toncana",4
"A2",10,30,"5YR",3,3,"7.5YR",4,3,"Toncana",4
"A3",30,61,"5YR",3,3,"7.5YR",4,3,"Toncana",4
"2Bt1",61,76,"5YR",3,4,"5YR",5,4,"Toncana",4
"2Bt2",76,102,"2.5YR",3,6,"5YR",5,4,"Toncana",4
"2Bt3",102,152,"2.5YR",3,6,"5YR",5,4,"Toncana",4
"Oi",0,3,"",,,"",,,"Truefissure",4
"Oa",3,8,"",,,"",,,"Truefissure",4
"A",8,15,"7.5YR",6,4,"7.5YR",3,4,"Truefissure",4
"Bw1",15,36,"10YR",6,4,"7.5YR",4,6,"Truefissure",4
"Bw2",36,61,"10YR",6,4,"7.5YR",4,4,"Truefissure",4
"2Bw3",61,107,"10YR",7,4,"10YR",5,4,"Truefissure",4
"2C",107,191,"2.5Y",7,4,"2.5Y",8,6,"Truefissure",4
"E",0,13,"10YR",6,2,"10YR",4,2,"Whaley",4
"A",13,25,"10YR",5,3,"10YR",8,2,"Whaley",4
"R",25,25,"",,,"",,,"Whaley",4
"Oi",0,5,"",,,"",,,"Whitore",4
"A",5,13,"10YR",4,2,"10YR",3,1,"Whitore",4
"Bw",13,36,"10YR",6,3,"10YR",4,3,"Whitore",4
"Bk1",36,64,"10YR",7,2,"10YR",5,3,"Whitore",4
"Bk2",64,152,"10YR",8,2,"10YR",6,2,"Whitore",4
"A",0,8,"10YR",5,2,"10YR",3,2,"Wicup",4
"Bt1",8,25,"10YR",5,3,"10YR",3,3,"Wicup",4
"Bt2",25,33,"10YR",5,3,"10YR",3,3,"Wicup",4
"Bt3",33,46,"10YR",5,4,"10YR",4,3,"Wicup",4
"Btkq",46,76,"10YR",6,3,"10YR",5,4,"Wicup",4
"Cr",76,155,"10YR",6,3,"10YR",5,4,"Wicup",4
"Oi",0,5,"",,,"",,,"Winkler",4
"A",5,13,"10YR",5,2,"10YR",3,2,"Winkler",4
"E1",13,25,"7.5YR",6,2,"7.5YR",5,2,"Winkler",4
"E2",25,69,"7.5YR",6,2,"7.5YR",5,2,"Winkler",4
"Bt",69,112,"7.5YR",6,2,"7.5YR",5,2,"Winkler",4
"C",112,152,"7.5YR",6,2,"7.5YR",4,2,"Winkler",4
"A1",0,13,"10YR",3,2,"10YR",2,2,"Winnemucca",4
"A2",13,28,"10YR",3,2,"10YR",2,2,"Winnemucca",4
"BA",28,46,"7.5YR",4,2,"7.5YR",3,2,"Winnemucca",4
"Bt1",46,61,"5YR",5,4,"5YR",4,4,"Winnemucca",4
"Bt2",61,71,"5YR",5,4,"5YR",4,4,"Winnemucca",4
"C",71,152,"5YR",6,4,"5YR",5,4,"Winnemucca",4
"Oi",0,3,"",,,"",,,"Woodgulch",4
"A",3,13,"10YR",5,2,"10YR",3,2,"Woodgulch",4
"E",13,36,"10YR",6,2,"10YR",4,2,"Woodgulch",4
"Bt1",36,79,"10YR",6,3,"10YR",4,3,"Woodgulch",4
"Bt2",79,130,"10YR",6,3,"10YR",4,3,"Woodgulch",4
"C",130,152,"2.5Y",6,2,"2.5Y",5,2,"Woodgulch",4
"Oi",0,5,"",,,"",,,"Woodrock",4
"Oe",5,8,"",,,"",,,"Woodrock",4
"A",8,13,"10YR",5,3,"10YR",3,3,"Woodrock",4
"E",13,28,"10YR",7,2,"10YR",5,2,"Woodrock",4
"B",28,41,"10YR",7,2,"10YR",5,3,"Woodrock",4
"Bt",41,74,"10YR",5,3,"10YR",4,3,"Woodrock",4
"BC",74,84,"10YR",6,4,"10YR",5,4,"Woodrock",4
"R",84,84,"",,,"",,,"Woodrock",4
"A1",0,36,"10YR",3,2,"10YR",2,2,"Harkers",4
"B1",36,48,"10YR",5,2,"10YR",3,2,"Harkers",4
"2Bt1",48,107,"7.5YR",5,4,"5YR",3,4,"Harkers",4
"2Bt2",107,147,"7.5YR",5,4,"5YR",3,4,"Harkers",4
"Cca",147,203,"10YR",6,4,"7.5YR",5,4,"Harkers",4
"A1",0,10,"10YR",5,2,"10YR",3,3,"Lantis",5
"2Bt",10,23,"10YR",5,3,"10YR",3,3,"Lantis",5
"3Bca",23,30,"10YR",6,3,"10YR",5,3,"Lantis",5
"A",0,25,"10YR",2,1,"10YR",4,1,"Loup",5
"Acg",25,38,"10YR",4,1,"10YR",5,1,"Loup",5
"Cg1",38,64,"10YR",5,1,"10YR",6,1,"Loup",5
"Cg2",64,122,"10YR",6,2,"10YR",7,2,"Loup",5
"Ab",122,200,"10YR",3,1,"10YR",5,2,"Loup",5
"A",0,20,"10YR",5,2,"10YR",4,2,"Langdon",5
"Bt",20,119,"7.5YR",5,4,"7.5YR",4,4,"Langdon",5
"C",119,163,"10YR",6,4,"10YR",5,4,"Langdon",5
"Btb",163,203,"10YR",5,4,"10YR",4,4,"Langdon",5
"A1",0,18,"10YR",4,2,"10YR",3,2,"Seldom",5
"A2",18,38,"10YR",4,2,"10YR",3,2,"Seldom",5
"Bkg1",38,86,"10YR",6,2,"10YR",5,2,"Seldom",5
"Bkg2",86,107,"10YR",8,1,"10YR",6,2,"Seldom",5
"Bkg3",107,152,"10YR",8,1,"10YR",6,2,"Seldom",5
"A1",0,13,"10YR",4,2,"10YR",3,2,"Nenzel",5
"A2",13,46,"10YR",4,1,"10YR",3,1,"Nenzel",5
"AC",46,84,"10YR",4,3,"10YR",3,3,"Nenzel",5
"Cg1",84,137,"10YR",6,2,"10YR",5,2,"Nenzel",5
"Cg2",137,203,"2.5Y",7,2,"2.5Y",6,2,"Nenzel",5
"Oi",0,2,"",,,"",,,"Roubaix",5
"AE",2,13,"10YR",3,2,"10YR",4,2,"Roubaix",5
"E",13,25,"10YR",5,3,"10YR",7,2,"Roubaix",5
"Bt1",25,36,"7.5YR",4,3,"7.5YR",5,4,"Roubaix",5
"Bt2",36,64,"7.5YR",3,4,"7.5YR",5,4,"Roubaix",5
"Bt3",64,81,"7.5YR",4,4,"7.5YR",5,4,"Roubaix",5
"2Bc",81,140,"7.5YR",5,4,"7.5YR",6,4,"Roubaix",5
"2C",140,200,"7.5YR",5,4,"7.5YR",6,4,"Roubaix",5
"Ap",0,20,"10YR",6,4,"10YR",5,4,"Pratt",5
"Bt",20,61,"10YR",6,6,"10YR",5,6,"Pratt",5
"E",61,163,"10YR",5,6,"10YR",6,6,"Pratt",5
"C",163,203,"10YR",6,4,"10YR",5,4,"Pratt",5
"A1",0,8,"10YR",2,2,"10YR",4,2,"Gillum",5
"A2",8,24,"10YR",2,2,"10YR",5,2,"Gillum",5
"BA",24,37,"10YR",4,3,"10YR",5,3,"Gillum",5
"Bt1",37,55,"10YR",4,3,"10YR",5,3,"Gillum",5
"Bt2",55,64,"10YR",3,3,"10YR",4,3,"Gillum",5
"Btk",64,91,"2.5Y",5,4,"2.5Y",6,4,"Gillum",5
"Bk1",91,108,"2.5Y",5,4,"2.5Y",6,4,"Gillum",5
"Bk2",108,140,"2.5Y",5,4,"2.5Y",6,4,"Gillum",5
"Bck",140,178,"2.5Y",5,4,"2.5Y",6,4,"Gillum",5
"2C",178,200,"10YR",5,4,"10YR",7,4,"Gillum",5
"A1",0,16,"10YR",3,2,"10YR",5,2,"Grinter",5
"A2",16,38,"10YR",3,3,"10YR",5,3,"Grinter",5
"AB",38,50,"10YR",4,3,"",,,"Grinter",5
"Bt1",50,94,"10YR",6,3,"7.5YR",5,4,"Grinter",5
"Bt2",94,137,"10YR",6,3,"7.5YR",5,4,"Grinter",5
"C1",137,167,"10YR",7,4,"",,,"Grinter",5
"C2",167,192,"10YR",6,4,"",,,"Grinter",5
"2C3",192,210,"10YR",5,4,"",,,"Grinter",5
"Ap",0,20,"10YR",3,1,"10YR",5,1,"Zoe",5
"A1",20,28,"10YR",2,1,"10YR",5,1,"Zoe",5
"A2",28,41,"10YR",2,1,"10YR",4,1,"Zoe",5
"Az",41,61,"10YR",3,1,"10YR",4,1,"Zoe",5
"ACg",61,91,"2.5Y",3,2,"2.5Y",5,2,"Zoe",5
"Cg",91,152,"2.5Y",4,2,"2.5Y",6,2,"Zoe",5
"A1",0,8,"10YR",5,2,"10YR",3,3,"Xavier",5
"A2",8,13,"10YR",5,2,"10YR",3,3,"Xavier",5
"2Bt1",13,25,"10YR",4,3,"10YR",3,3,"Xavier",5
"B3",25,41,"10YR",6,3,"10YR",4,3,"Xavier",5
"1Cca",41,69,"2.5Y",7,3,"2.5Y",5,3,"Xavier",5
"2Cca",69,91,"2.5Y",6,3,"2.5Y",4,3,"Xavier",5
"3C",91,157,"2.5Y",6,3,"2.5Y",4,3,"Xavier",5
"Oe",0,3,"10YR",3,1,"",,,"Alticrest",6
"A",3,5,"10YR",3,3,"",,,"Alticrest",6
"E",5,25,"10YR",4,3,"10YR",3,3,"Alticrest",6
"Bw1",25,38,"10YR",4,4,"10YR",5,4,"Alticrest",6
"Bw2",38,58,"7.5YR",5,6,"",,,"Alticrest",6
"Bw3",58,79,"7.5YR",5,4,"",,,"Alticrest",6
"C",79,81,"10YR",6,3,"10YR",5,3,"Alticrest",6
"R",81,81,"",,,"",,,"Alticrest",6
"Oi",0,3,"10YR",2,1,"",,,"Wrightsville",6
"A",3,5,"10YR",4,2,"",,,"Wrightsville",6
"Eg1",5,25,"10YR",5,2,"",,,"Wrightsville",6
"Eg2",25,43,"10YR",6,1,"10YR",5,8,"Wrightsville",6
"E",43,58,"10YR",5,1,"",,,"Wrightsville",6
"Btg1",58,99,"10YR",5,1,"10YR",7,2,"Wrightsville",6
"Btg2",99,124,"2.5Y",6,2,"10YR",7,2,"Wrightsville",6
"Btg3",124,157,"2.5Y",6,2,"7.5YR",5,8,"Wrightsville",6
"Btg4",157,183,"10YR",5,1,"10YR",7,2,"Wrightsville",6
"Oi",0,3,"",,,"",,,"Beech Grove",6
"A",3,8,"10YR",2,2,"",,,"Beech Grove",6
"R",8,8,"",,,"",,,"Beech Grove",6
"Ap",0,25,"10YR",4,3,"10YR",5,4,"Henlopen",6
"E",25,56,"10YR",6,4,"10YR",5,6,"Henlopen",6
"Bt1",56,117,"7.5YR",5,6,"10YR",5,6,"Henlopen",6
